City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Casino,AU,2021-10-16 13:37:56,-28.8667,153.05,58.95,58,3,2.3,clear sky
189,Kudahuvadhoo,MV,2021-10-16 13:37:57,2.6708,72.8944,82.92,78,100,24.92,overcast clouds
190,Divnomorskoye,RU,2021-10-16 13:37:57,44.5011,38.1353,65.75,87,42,3.83,scattered clouds
191,Nouadhibou,MR,2021-10-16 13:37:58,20.931,-17.0347,93.18,38,0,8.05,clear sky
192,Meulaboh,ID,2021-10-16 13:37:58,4.1363,96.1285,80.69,77,96,0.25,overcast clouds
193,Ribeira Grande,PT,2021-10-16 13:37:58,38.5167,-28.7,72.0,88,75,19.57,broken clouds
194,Matay,EG,2021-10-16 13:37:59,28.419,30.7792,93.72,11,66,15.46,broken clouds
195,Tomatlan,MX,2021-10-16 13:37:59,19.9333,-105.25,76.03,88,3,2.57,clear sky
196,Talcahuano,CL,2021-10-16 13:38:00,-36.7167,-73.1167,53.28,66,0,3.44,clear sky
197,Tuatapere,NZ,2021-10-16 13:38:00,-46.1333,167.6833,47.84,81,100,5.84,overcast clouds
198,Sinnamary,GF,2021-10-16 13:38:01,5.3833,-52.95,86.88,64,78,8.5,broken clouds
199,Hami,CN,2021-10-16 13:38:01,42.8,93.45,58.28,18,0,5.21,clear sky
200,Tucurui,BR,2021-10-16 13:38:02,-3.7661,-49.6725,95.68,41,58,5.03,broken clouds
201,Te Anau,NZ,2021-10-16 13:38:03,-45.4167,167.7167,44.76,86,100,3.42,overcast clouds
202,Santa Catarina De Tepehuanes,MX,2021-10-16 13:38:03,25.35,-105.7333,58.87,66,88,3.44,overcast clouds
203,Iqaluit,CA,2021-10-16 13:38:04,63.7506,-68.5145,26.33,86,20,1.99,few clouds
204,Tura,IN,2021-10-16 13:38:04,25.5198,90.2201,76.6,94,100,2.95,overcast clouds
205,Tuktoyaktuk,CA,2021-10-16 13:35:42,69.4541,-133.0374,26.6,86,90,3.44,overcast clouds
206,Kamaishi,JP,2021-10-16 13:38:05,39.2667,141.8833,57.02,95,100,5.39,light rain
207,Cherskiy,RU,2021-10-16 13:38:05,68.75,161.3,-10.3,100,69,2.82,broken clouds
208,Aleksandrov Gay,RU,2021-10-16 13:38:05,50.147,48.5704,53.11,50,56,8.86,broken clouds
209,Jimo,CN,2021-10-16 13:38:06,36.3897,120.4622,48.33,57,0,8.95,light rain
210,Leningradskiy,RU,2021-10-16 13:38:06,69.3833,178.4167,10.56,97,80,5.1,broken clouds
211,Hofn,IS,2021-10-16 13:38:07,64.2539,-15.2082,37.45,69,100,9.44,overcast clouds
212,Cassilandia,BR,2021-10-16 13:38:07,-19.1133,-51.7342,83.25,58,100,6.85,overcast clouds
213,Tomigusuku,JP,2021-10-16 13:38:08,26.185,127.675,80.37,78,20,12.66,few clouds
214,Fortuna,US,2021-10-16 13:38:08,40.5982,-124.1573,45.52,100,1,9.22,clear sky
215,Obo,CF,2021-10-16 13:38:09,5.3998,26.4869,80.47,75,90,1.32,moderate rain
216,Viedma,AR,2021-10-16 13:38:09,-40.8135,-62.9967,67.26,22,4,4.79,clear sky
217,La Ronge,CA,2021-10-16 13:38:10,55.1001,-105.2842,39.45,65,1,4.61,clear sky
218,Kavaratti,IN,2021-10-16 13:38:10,10.5669,72.642,81.37,78,100,21.88,moderate rain
219,Kangaatsiaq,GL,2021-10-16 13:38:11,68.3065,-53.4641,25.45,55,0,18.61,clear sky
220,Mednogorsk,RU,2021-10-16 13:38:11,51.4128,57.595,47.98,78,68,1.39,broken clouds
221,Mount Isa,AU,2021-10-16 13:38:12,-20.7333,139.5,64.17,42,0,1.14,clear sky
222,Kuito,AO,2021-10-16 13:38:12,-12.3833,16.9333,90.97,15,99,0.6,overcast clouds
223,Constitucion,CL,2021-10-16 13:38:12,-35.3333,-72.4167,56.66,52,1,11.7,clear sky
224,Nipawin,CA,2021-10-16 13:38:13,53.3668,-104.0009,35.64,69,1,10.36,clear sky
225,Elizabethton,US,2021-10-16 13:38:14,36.3487,-82.2107,70.48,73,90,4.61,mist
226,Cananea,MX,2021-10-16 13:38:14,30.95,-110.3,49.71,33,94,7.92,overcast clouds
227,Cabedelo,BR,2021-10-16 13:38:14,-6.9811,-34.8339,86.67,59,29,14.38,scattered clouds
228,Primorsk,UA,2021-10-16 13:38:15,46.7348,36.3443,60.67,52,100,9.95,overcast clouds
229,Faya,SA,2021-10-16 13:38:15,18.3851,42.4509,78.91,13,2,15.43,clear sky
230,Carnarvon,AU,2021-10-16 13:38:15,-24.8667,113.6333,68.07,73,0,16.11,clear sky
231,Pevek,RU,2021-10-16 13:38:16,69.7008,170.3133,5.88,93,46,3.91,scattered clouds
232,Beringovskiy,RU,2021-10-16 13:38:16,63.05,179.3167,32.76,72,100,29.66,overcast clouds
233,Floro,NO,2021-10-16 13:38:17,61.5996,5.0328,46.24,76,90,5.75,light rain
234,Sume,BR,2021-10-16 13:38:17,-7.6717,-36.88,90.68,31,53,15.9,broken clouds
235,Passagem Franca,BR,2021-10-16 13:38:18,-6.1797,-43.7836,98.19,29,43,5.35,scattered clouds
236,College,US,2021-10-16 13:38:18,64.8569,-147.8028,28.35,91,90,3.44,light snow
237,Duluth,US,2021-10-16 13:38:19,46.7833,-92.1066,44.35,85,1,3.0,clear sky
238,Fare,PF,2021-10-16 13:38:19,-16.7,-151.0167,79.47,74,29,23.44,scattered clouds
239,Longyearbyen,SJ,2021-10-16 13:38:20,78.2186,15.6401,26.44,54,75,16.11,broken clouds
240,Klaksvik,FO,2021-10-16 13:38:20,62.2266,-6.589,45.52,67,99,6.96,overcast clouds
241,Valparaiso,CL,2021-10-16 13:38:21,-33.0393,-71.6273,61.03,55,0,6.91,clear sky
242,Harwich,GB,2021-10-16 13:38:21,51.9419,1.2844,58.55,80,100,5.01,overcast clouds
243,Taoudenni,ML,2021-10-16 13:38:22,22.6783,-3.9836,101.66,10,2,6.17,clear sky
244,Gander,CA,2021-10-16 13:34:05,48.9682,-54.5906,41.38,100,90,27.0,mist
245,Sonoita,MX,2021-10-16 13:38:22,31.85,-112.8333,59.52,25,0,5.88,clear sky
246,Ekibastuz,KZ,2021-10-16 13:38:22,51.6667,75.3667,41.67,55,4,3.15,clear sky
247,San Juan,AR,2021-10-16 13:35:47,-31.5375,-68.5364,65.98,19,0,8.46,clear sky
248,Kenai,US,2021-10-16 13:31:35,60.5544,-151.2583,35.15,93,90,0.0,overcast clouds
249,Saint-Philippe,RE,2021-10-16 13:38:23,-21.3585,55.7679,80.19,79,50,14.83,scattered clouds
250,Tarakan,ID,2021-10-16 13:38:24,3.3,117.6333,83.7,84,20,1.14,few clouds
251,San Patricio,US,2021-10-16 13:34:38,28.017,-97.5169,68.85,55,100,16.35,overcast clouds
252,Rundu,NA,2021-10-16 13:38:24,-17.9333,19.7667,100.72,7,2,3.27,clear sky
253,Kyra,RU,2021-10-16 13:38:25,49.5776,111.9753,27.41,56,14,4.72,few clouds
254,Mocuba,MZ,2021-10-16 13:38:26,-16.8392,36.9856,99.64,20,73,2.53,broken clouds
255,Tiarei,PF,2021-10-16 13:38:26,-17.5333,-149.3333,75.22,69,6,21.47,clear sky
256,San Isidro,PE,2021-10-16 13:38:26,-12.1167,-77.05,71.02,82,75,1.01,broken clouds
257,Kampot,KH,2021-10-16 13:38:27,10.6167,104.1833,80.65,83,88,3.04,overcast clouds
258,Skeldon,GY,2021-10-16 13:38:27,5.8833,-57.1333,88.79,58,21,7.7,few clouds
259,Bandarbeyla,SO,2021-10-16 13:38:27,9.4942,50.8122,80.74,80,2,13.35,clear sky
260,San Policarpo,PH,2021-10-16 13:38:28,12.1791,125.5072,80.91,83,66,6.98,broken clouds
